idArticle,idCommande,quantite_article_commande,remise_prix
1,1,28,2
2,30,13,5
5,2,25,8,8699999999999992
12,3,6,5,4000000000000004
13,4,4,7,5099999999999998
14,5,31,4,1799999999999997
24,6,44,2,4900000000000002
26,7,35,8,9800000000000004
27,8,5,9,4700000000000006
27,9,4,3,0099999999999998
28,10,3,5,04
29,11,32,3,3199999999999998
30,12,30,6,6399999999999997
31,13,4,5,3600000000000003
31,14,13,9,4299999999999997
31,15,1,1,97
31,16,5,6,0499999999999998
32,17,43,8,6099999999999994
32,18,46,5,6200000000000001
32,19,42,2,21
32,20,29,7,5
33,21,7,3,0600000000000001
33,22,50,0,92000000000000004
34,23,8,5,9500000000000002
34,24,16,6,3200000000000003
35,25,28,1,0600000000000001
35,26,1,0,93000000000000005
36,27,16,5,7400000000000002
36,28,40,8,6899999999999995
37,1,33,1,5600000000000001
37,29,50,4,7999999999999998
38,1,37,7,3799999999999999
38,2,21,9,6899999999999995
38,3,18,9,1999999999999993
39,3,46,4,5199999999999996
39,4,2,9,6899999999999995
40,4,12,5,4800000000000004
41,4,39,1,6000000000000001
41,5,20,3,6000000000000001
41,6,22,0,94999999999999996
42,6,49,0,96999999999999997
42,7,19,3,29
43,1,14,8,5299999999999994
43,2,27,1,6100000000000001
44,3,34,2,3799999999999999
44,4,33,0,96999999999999997
44,5,44,5,1500000000000004
45,6,27,3,0899999999999999
45,7,39,9,8399999999999999
46,8,4,3,7400000000000002
47,9,50,6,5899999999999999
47,10,16,9,0899999999999999
47,11,34,2
48,12,46,3,48
49,13,1,3,1099999999999999
49,14,4,1,6599999999999999
49,15,37,9,5899999999999999
50,16,19,4,0300000000000002
50,17,23,7,1799999999999997
50,18,15,6,46
